ID,Description,GeneRatio,p.adjust,Count,geneID
hsa04621,NOD-like receptor signaling pathway,30/712,0.0017206545652814,30,TNFAIP3/NFKBIA/BIRC3/CXCL8/CXCL1/CXCL3/IKBKE/TNF/TRAF3/OAS3/NFKB1/TICAM1/CXCL2/IFNAR2/NFKBIB/JAK1/OAS1/GBP4/TANK/TRAF2/TLR4/PANX1/MAPK11/GBP2/CCL2/GABARAPL1/GBP1/GPSM3/CASP1/IL1B
hsa00040,Pentose and glucuronate interconversions,11/712,0.00201454712904,11,UGT1A6/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/AKR1B15/KL/UGT2A3/AKR1B10/UGT2B17
hsa05414,Dilated cardiomyopathy,18/712,0.0028002701116069,18,ITGAV/ITGA2/ITGB8/TNF/ITGA3/TPM1/ITGB6/ADCY5/PRKACB/CACNG8/CACNA2D3/CACNB1/TPM2/SSPN/TNNT2/DMD/LAMA1/ITGA9
hsa05222,Small cell lung cancer,21/712,0.0028075565636081,21,LAMC2/NFKBIA/LAMA3/ITGAV/LAMB3/BIRC3/ITGA2/ITGA3/TRAF3/LAMA5/NFKB1/LAMC1/GADD45A/CDKN2B/TRAF2/LAMA4/PIK3CD/E2F2/NOS2/TRAF1/LAMA1
hsa05202,Transcriptional misregulation in cancer,29/712,0.0032106893009587,29,BIRC3/CXCL8/TMPRSS2/IGFBP3/ARNT2/NFKB1/PLAU/PML/ITGAM/ETV7/GADD45A/TFE3/ID2/FOXO1/NFKBIZ/ETV4/ETV6/CEBPB/CD40/CSF2/IL1R2/PAX8/MLF1/TRAF1/NUPR1/H3C8/MYCN/CD14/SIX4
hsa05162,Measles,24/712,0.0039402791575107,24,TNFAIP3/NFKBIA/IL2RG/STAT5A/STAT3/IKBKE/TRAF3/OAS3/NFKB1/BBC3/IFNAR2/NFKBIB/BID/JAK1/RIGI/OAS1/FOS/TLR4/TLR2/MX1/IFIH1/PIK3CD/HSPA1L/IL1B
hsa04672,Intestinal immune network for IgA production,8/712,0.0041450999205373,8,ICOSLG/LOC102723996/HLA-DRB1/HLA-DRA/CD40/IL15RA/HLA-DRB5/IL15
hsa04622,RIG-I-like receptor signaling pathway,15/712,0.0041450999205373,15,NFKBIA/CXCL8/IKBKE/TNF/TRAF3/NFKB1/NFKBIB/MAP3K1/RIGI/TANK/TRAF2/CYLD/IFIH1/MAPK11/ISG15
hsa05410,Hypertrophic cardiomyopathy,17/712,0.0041644952560539,17,ITGAV/ITGA2/ITGB8/TNF/ITGA3/TPM1/ITGB6/EDN1/CACNG8/CACNA2D3/CACNB1/TPM2/SSPN/TNNT2/DMD/LAMA1/ITGA9
hsa00053,Ascorbate and aldarate metabolism,9/712,0.0050822766803045,9,UGT1A6/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/KL/UGT2A3/UGT2B17
