GeneID,Symbol,log2FoldChange,padj,pvalue,regulation,baseMean
91151,TIGD7,-0.356020113813565,0.49045288096514,0.308920918660601,Not significant,24.3614153829094
65258,MPPE1,-0.0939291383571664,0.490577621782594,0.309044257187761,Not significant,456.721010536534
84263,HSDL2,-0.0576837774551024,0.490583137317773,0.309077496536085,Not significant,1647.90802822702
54587,MXRA8,-0.0855816237015596,0.490666602580617,0.3092788386361,Not significant,506.073262366454
23126,POGZ,0.0749738222704726,0.490666602580617,0.309398009987887,Not significant,850.708122603017
5987,TRIM27,-0.0618906393476917,0.490666602580617,0.309249134829234,Not significant,1258.62406025413
100507420,LINC01605,-0.507113455264805,0.490666602580617,0.30917881676948,Not significant,13.2897246682077
64429,ZDHHC6,0.0609074969863389,0.490666602580617,0.309379592608517,Not significant,1369.92761456777
2188,FANCF,-0.0829233648280179,0.490666602580617,0.309392903678623,Not significant,564.831185784833
23002,DAAM1,0.0884067900717553,0.490666602580617,0.309300627637393,Not significant,497.124272774191
64799,IQCH,-0.412675349392657,0.490666602580617,0.309371520395739,Not significant,18.608088545281
8578,SCARF1,-0.185321838707018,0.490666602580617,0.309282867782135,Not significant,91.3764097172769
1743,DLST,-0.0511751417428426,0.490941675926403,0.309601248609333,Not significant,2721.61998697378
9866,TRIM66,-0.188846996469344,0.491068600655363,0.309711085051116,Not significant,1357.852240139
387264,KRTAP5-1,0.452836232998363,0.491291618537155,0.309881547525316,Not significant,15.7963619026933
100271835,LIMS3-LOC440895,0.428143809557633,0.491439674426438,0.310034567084462,Not significant,16.4657215258402
55722,CEP72,-0.101551541984027,0.491439674426438,0.310025979331803,Not significant,353.280341806283
84364,ARFGAP2,-0.0604443179403399,0.49184924302971,0.310322793245113,Not significant,1494.25220079967
374443,LOC374443,0.375831356792101,0.49192933353186,0.310403171261458,Not significant,24.8908834892173
